"order date,ship date,ship mode,segment,country,city,state,postal code,region,product id,category,sub-category,product name,sales,quantity,discount,profit,order year,order month,shipping days"
"2016-01-16,2016-01-20,second class,consumer,United States,Los Angeles,California,90049,west,TEC-AC-10003027,technology,accessories,ImationÂ 8GB Mini TravelDrive USB 2.0Â Flash Drive,90.57,3,0.0,11.7741,2016,1,4"
"2015-09-17,2015-09-21,standard class,consumer,United States,Philadelphia,Pennsylvania,19140,east,FUR-BO-10004834,furniture,bookcases,""Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"",498.93,7,0.5,-39.724125,2015,9,4"
"2015-09-17,2015-09-21,standard class,consumer,United States,Philadelphia,Pennsylvania,19140,east,OFF-BI-10000474,office supplies,binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.5,-7.0532,2015,9,4"
"2015-09-17,2015-09-21,standard class,consumer,United States,Philadelphia,Pennsylvania,19140,east,FUR-FU-10004848,furniture,furnishings,""Howard Miller 13-3/4"""" Diameter Brushed Chrome Round Wall Clock"",124.2,3,0.2,15.525,2015,9,4"
"2015-09-17,2015-09-21,standard class,consumer,United States,Philadelphia,Pennsylvania,19140,east,OFF-EN-10001509,office supplies,envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,2015,9,4"
"2015-09-17,2015-09-21,standard class,consumer,United States,Philadelphia,Pennsylvania,19140,east,OFF-AR-10004042,office supplies,art,""BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain"",86.304,6,0.2,9.7092,2015,9,4"
"2015-09-17,2015-09-21,standard class,consumer,United States,Philadelphia,Pennsylvania,19140,east,OFF-BI-10001525,office supplies,binders,""Acco Pressboard Covers with Storage Hooks, 14 7/8"""" x 11"""", Executive Red"",6.858,6,0.5,-5.715,2015,9,4"
"2015-09-17,2015-09-21,standard class,consumer,United States,Philadelphia,Pennsylvania,19140,east,OFF-AR-10001683,office supplies,art,Lumber Crayons,15.76,2,0.2,3.546,2015,9,4"
"2017-10-19,2017-10-23,second class,home office,United States,Houston,Texas,77095,central,OFF-PA-10000249,office supplies,paper,Easy-staple paper,29.472,3,0.2,9.9468,2017,10,4"
"2016-12-08,2016-12-10,first class,corporate,United States,Richardson,Texas,75080,central,TEC-PH-10004977,technology,phones,GE 30524EE4,498.93,7,0.2,70.816875,2016,12,2"
"2016-12-08,2016-12-10,first class,corporate,United States,Richardson,Texas,75080,central,FUR-FU-10003664,furniture,furnishings,""Electrix Architect's Clamp-On Swing Arm Lamp, Black"",190.92,5,0.5,-39.724125,2016,12,2"
"2015-12-27,2015-12-31,standard class,home office,United States,Houston,Texas,77041,central,OFF-EN-10002986,office supplies,envelopes,""#10-4 1/8"""" x 9 1/2"""" Premium Diagonal Seam Envelopes"",113.328,9,0.2,35.415,2015,12,4"
"2015-12-27,2015-12-31,standard class,home office,United States,Houston,Texas,77041,central,FUR-BO-10002545,furniture,bookcases,""Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"",498.93,3,0.32,-39.724125,2015,12,4"
"2015-12-27,2015-12-31,standard class,home office,United States,Houston,Texas,77041,central,FUR-CH-10004218,furniture,chairs,""Global Fabric Manager's Chair, Dark Gray"",212.058,3,0.3,-15.147,2015,12,4"
"2015-12-27,2015-12-31,standard class,home office,United States,Houston,Texas,77041,central,TEC-PH-10000486,technology,phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,2015,12,4"
"2017-09-10,2017-09-15,standard class,corporate,United States,Naperville,Illinois,60540,central,TEC-PH-10004093,technology,phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,2017,9,5"
"2016-07-17,2016-07-22,standard class,corporate,United States,Los Angeles,California,90049,west,OFF-ST-10003479,office supplies,storage,""Eldon Base for stackable storage shelf, platinum"",77.88,2,0.0,3.894,2016,7,5"
"2017-09-19,2017-09-23,standard class,corporate,United States,Melbourne,Florida,32935,south,OFF-ST-10003282,office supplies,storage,""Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers"",95.616,2,0.2,9.5616,2017,9,4"
"2016-03-11,2016-03-13,first class,corporate,United States,Eagan,Minnesota,55122,central,TEC-AC-10000171,technology,accessories,""Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack"",45.98,2,0.0,19.7714,2016,3,2"
"2016-03-11,2016-03-13,first class,corporate,United States,Eagan,Minnesota,55122,central,OFF-BI-10003291,office supplies,binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.2062,2016,3,2"
"2014-10-20,2014-10-25,second class,consumer,United States,Westland,Michigan,48185,central,OFF-ST-10001713,office supplies,storage,""Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black"",211.96,4,0.0,8.4784,2014,10,5"
"2016-06-20,2016-06-25,standard class,consumer,United States,Dover,Delaware,19901,east,TEC-AC-10002167,technology,accessories,ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive,45.0,3,0.0,4.95,2016,6,5"
"2016-06-20,2016-06-25,standard class,consumer,United States,Dover,Delaware,19901,east,TEC-PH-10003988,technology,phones,""LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite"",21.8,2,0.0,6.104,2016,6,5"
"2015-04-18,2015-04-22,standard class,consumer,United States,New Albany,Indiana,47150,central,OFF-BI-10004410,office supplies,binders,""C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"",38.22,6,0.0,17.9634,2015,4,4"
"2015-04-18,2015-04-22,standard class,consumer,United States,New Albany,Indiana,47150,central,OFF-LA-10002762,office supplies,labels,Avery 485,75.18,6,0.0,35.3346,2015,4,4"
"2015-04-18,2015-04-22,standard class,consumer,United States,New Albany,Indiana,47150,central,FUR-FU-10001706,furniture,furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568,2015,4,4"
"2015-04-18,2015-04-22,standard class,consumer,United States,New Albany,Indiana,47150,central,FUR-CH-10003061,furniture,chairs,""Global Leather Task Chair, Black"",89.99,1,0.0,17.0981,2015,4,4"
"2016-12-11,2016-12-17,standard class,corporate,United States,New York City,New York,10024,east,OFF-FA-10000304,office supplies,fasteners,Advantus Push Pins,15.26,7,0.0,6.2566,2016,12,6"
"2016-12-11,2016-12-17,standard class,corporate,United States,New York City,New York,10024,east,TEC-PH-10002447,technology,phones,AT&T CL83451 4-Handset Telephone,498.93,5,0.0,70.816875,2016,12,6"
"2016-06-17,2016-06-18,first class,consumer,United States,Troy,New York,12180,east,OFF-ST-10000604,office supplies,storage,Home/Office Personal File Carts,208.56,6,0.0,52.14,2016,6,1"
"2016-06-17,2016-06-18,first class,consumer,United States,Troy,New York,12180,east,OFF-PA-10001569,office supplies,paper,Xerox 232,32.4,5,0.0,15.552,2016,6,1"
"2016-06-17,2016-06-18,first class,consumer,United States,Troy,New York,12180,east,FUR-CH-10003968,furniture,chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,2016,6,1"
"2016-06-17,2016-06-18,first class,consumer,United States,Troy,New York,12180,east,OFF-PA-10000587,office supplies,paper,""Array Parchment Paper, Assorted Colors"",14.56,2,0.0,6.9888,2016,6,1"
"2016-06-17,2016-06-18,first class,consumer,United States,Troy,New York,12180,east,TEC-AC-10002167,technology,accessories,ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive,30.0,2,0.0,3.3,2016,6,1"
"2016-06-17,2016-06-18,first class,consumer,United States,Troy,New York,12180,east,OFF-BI-10001460,office supplies,binders,Plastic Binding Combs,48.48,4,0.2,16.362,2016,6,1"
"2016-06-17,2016-06-18,first class,consumer,United States,Troy,New York,12180,east,OFF-AR-10001868,office supplies,art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84,2016,6,1"
"2015-11-24,2015-11-30,standard class,consumer,United States,Los Angeles,California,90004,west,TEC-AC-10004633,technology,accessories,""Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack"",13.98,2,0.0,6.1512,2015,11,6"
"2015-11-24,2015-11-30,standard class,consumer,United States,Los Angeles,California,90004,west,OFF-BI-10001078,office supplies,binders,""Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"""" X 11"""""",25.824,6,0.2,9.3612,2015,11,6"
"2015-11-24,2015-11-30,standard class,consumer,United States,Los Angeles,California,90004,west,OFF-PA-10003892,office supplies,paper,Xerox 1943,146.73,3,0.0,68.9631,2015,11,6"
"2015-11-24,2015-11-30,standard class,consumer,United States,Los Angeles,California,90004,west,FUR-FU-10000397,furniture,furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.3328,2015,11,6"
"2015-04-30,2015-05-05,standard class,home office,United States,Chicago,Illinois,60610,central,FUR-CH-10001146,furniture,chairs,""Global Value Mid-Back Manager's Chair, Gray"",213.115,5,0.3,-15.2225,2015,4,5"
"2014-12-05,2014-12-10,standard class,corporate,United States,Gilbert,Arizona,85234,west,OFF-AR-10002671,office supplies,art,""Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige"",498.93,8,0.2,70.816875,2014,12,5"
"2014-12-05,2014-12-10,standard class,corporate,United States,Gilbert,Arizona,85234,west,TEC-PH-10002726,technology,phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,2014,12,5"
"2016-06-04,2016-06-06,first class,consumer,United States,Springfield,Virginia,22153,south,OFF-PA-10000482,office supplies,paper,""Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate"",75.88,2,0.0,35.6636,2016,6,2"
"2016-09-18,2016-09-23,standard class,consumer,United States,New York City,New York,10009,east,OFF-BI-10004654,office supplies,binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,2016,9,5"
"2017-09-14,2017-09-17,second class,consumer,United States,Jackson,Michigan,49201,central,OFF-PA-10004675,office supplies,paper,""Telephone Message Books with Fax/Mobile Section, 5 1/2"""" x 3 3/16"""""",19.05,3,0.0,8.763,2017,9,3"
"2015-04-26,2015-05-02,standard class,consumer,United States,Memphis,Tennessee,38109,south,FUR-CH-10000513,furniture,chairs,High-Back Leather Manager's Chair,498.93,8,0.2,-39.724125,2015,4,6"
"2015-04-26,2015-05-02,standard class,consumer,United States,Memphis,Tennessee,38109,south,FUR-FU-10003708,furniture,furnishings,""Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"""" x 48"""""",97.04,2,0.2,1.213,2015,4,6"
"2015-04-26,2015-05-02,standard class,consumer,United States,Memphis,Tennessee,38109,south,OFF-ST-10004123,office supplies,storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196,2015,4,6"
"2017-12-09,2017-12-11,first class,corporate,United States,Houston,Texas,77041,central,OFF-BI-10004182,office supplies,binders,Economy Binders,1.248,3,0.5,-1.9344,2017,12,2"
"2017-12-09,2017-12-11,first class,corporate,United States,Houston,Texas,77041,central,FUR-FU-10000260,furniture,furnishings,""6"""" Cubicle Wall Clock, Black"",9.708,3,0.5,-5.8248,2017,12,2"
"2017-12-09,2017-12-11,first class,corporate,United States,Houston,Texas,77041,central,OFF-ST-10000615,office supplies,storage,""SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h"",27.24,3,0.2,2.724,2017,12,2"
"2014-11-26,2014-12-01,second class,consumer,United States,Houston,Texas,77070,central,FUR-FU-10003194,furniture,furnishings,""Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak"",19.3,5,0.5,-14.475,2014,11,5"
"2016-06-12,2016-06-15,first class,corporate,United States,Decatur,Alabama,35601,south,OFF-AP-10002118,office supplies,appliances,""1.7 Cubic Foot Compact """"Cube"""" Office Refrigerators"",208.16,1,0.0,56.2032,2016,6,3"
"2016-06-12,2016-06-15,first class,corporate,United States,Decatur,Alabama,35601,south,OFF-BI-10002309,office supplies,binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0.0,8.0352,2016,6,3"
"2014-10-12,2014-10-16,standard class,consumer,United States,San Francisco,California,94122,west,OFF-AR-10002053,office supplies,art,""Premium Writing Pencils, Soft, #2 by Central Association for the Blind"",14.9,5,0.0,4.172,2014,10,4"
"2014-10-12,2014-10-16,standard class,consumer,United States,San Francisco,California,94122,west,OFF-ST-10002370,office supplies,storage,""Sortfiler Multipurpose Personal File Organizer, Black"",21.39,1,0.0,6.2031,2014,10,4"
"2015-09-03,2015-09-08,standard class,corporate,United States,Durham,North Carolina,27707,south,OFF-EN-10000927,office supplies,envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075,2015,9,5"
"2017-11-13,2017-11-16,first class,home office,United States,Chicago,Illinois,60623,central,OFF-ST-10003656,office supplies,storage,Safco Industrial Wire Shelving,230.376,3,0.2,-39.724125,2017,11,3"
"2017-05-28,2017-05-30,second class,consumer,United States,Columbia,South Carolina,29203,south,FUR-CH-10000863,furniture,chairs,Novimex Swivel Fabric Task Chair,301.96,2,0.0,33.2156,2017,5,2"
"2017-10-26,2017-11-02,standard class,consumer,United States,Rochester,Minnesota,55901,central,TEC-AC-10001998,technology,accessories,LogitechÂ LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0.0,6.7966,2017,10,7"
"2017-10-26,2017-11-02,standard class,consumer,United States,Rochester,Minnesota,55901,central,OFF-LA-10000134,office supplies,labels,Avery 511,6.16,2,0.0,2.9568,2017,10,7"
"2016-04-05,2016-04-10,second class,home office,United States,Houston,Texas,77095,central,OFF-ST-10003442,office supplies,storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572,2016,4,5"
"2016-09-17,2016-09-22,standard class,corporate,United States,Los Angeles,California,90036,west,OFF-AR-10004930,office supplies,art,Turquoise Lead Holder with Pocket Clip,20.1,3,0.0,6.633,2016,9,5"
"2016-09-17,2016-09-22,standard class,corporate,United States,Los Angeles,California,90036,west,TEC-PH-10004093,technology,phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782,2016,9,5"
"2016-09-17,2016-09-22,standard class,corporate,United States,Los Angeles,California,90036,west,OFF-PA-10000304,office supplies,paper,Xerox 1995,6.48,1,0.0,3.1104,2016,9,5"
"2015-01-31,2015-02-05,second class,consumer,United States,Minneapolis,Minnesota,55407,central,OFF-PA-10003177,office supplies,paper,Xerox 1999,12.96,2,0.0,6.2208,2015,1,5"
"2015-01-31,2015-02-05,second class,consumer,United States,Minneapolis,Minnesota,55407,central,FUR-FU-10003799,furniture,furnishings,""Seth Thomas 13 1/2"""" Wall Clock"",53.34,3,0.0,16.5354,2015,1,5"
"2015-01-31,2015-02-05,second class,consumer,United States,Minneapolis,Minnesota,55407,central,OFF-BI-10002852,office supplies,binders,Ibico Standard Transparent Covers,32.96,2,0.0,16.1504,2015,1,5"
"2017-11-06,2017-11-12,standard class,home office,United States,Portland,Oregon,97206,west,OFF-BI-10004738,office supplies,binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.5,-3.788,2017,11,6"
"2017-11-09,2017-11-11,second class,home office,United States,New York City,New York,10009,east,FUR-FU-10000629,furniture,furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0.0,40.5426,2017,11,2"
"2017-06-17,2017-06-20,first class,consumer,United States,San Francisco,California,94122,west,OFF-BI-10001721,office supplies,binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592,2017,6,3"
"2016-09-06,2016-09-11,standard class,corporate,United States,Saint Paul,Minnesota,55106,central,OFF-AP-10000358,office supplies,appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0.0,22.5852,2016,9,5"
"2016-08-29,2016-09-02,standard class,home office,United States,Chicago,Illinois,60610,central,OFF-PA-10003256,office supplies,paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184,2016,8,4"
"2016-08-29,2016-09-02,standard class,home office,United States,Chicago,Illinois,60610,central,TEC-AC-10001767,technology,accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973,2016,8,4"
"2016-08-29,2016-09-02,standard class,home office,United States,Chicago,Illinois,60610,central,OFF-BI-10002609,office supplies,binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.5,-3.0396,2016,8,4"
"2016-12-01,2016-12-04,second class,consumer,United States,Rochester,Minnesota,55901,central,OFF-PA-10004040,office supplies,paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0.0,11.7208,2016,12,3"
"2015-11-13,2015-11-17,standard class,consumer,United States,Aurora,Colorado,80013,west,TEC-AC-10001552,technology,accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758,2015,11,4"
"2015-11-13,2015-11-17,standard class,consumer,United States,Aurora,Colorado,80013,west,FUR-FU-10004006,furniture,furnishings,""Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting"",102.36,3,0.2,-3.8385,2015,11,4"
"2015-11-13,2015-11-17,standard class,consumer,United States,Aurora,Colorado,80013,west,OFF-BI-10002794,office supplies,binders,""Avery Trapezoid Ring Binder, 3"""" Capacity, Black, 1040 sheets"",36.882,3,0.5,-25.8174,2015,11,4"
"2017-11-23,2017-11-28,standard class,consumer,United States,Charlotte,North Carolina,28205,south,TEC-AC-10003499,technology,accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016,2017,11,5"
"2017-11-23,2017-11-28,standard class,consumer,United States,Charlotte,North Carolina,28205,south,TEC-PH-10002844,technology,phones,Speck Products Candyshell Flip Case,27.992,1,0.2,2.0994,2017,11,5"
"2017-11-23,2017-11-28,standard class,consumer,United States,Charlotte,North Carolina,28205,south,OFF-AR-10000390,office supplies,art,Newell Chalk Holder,3.304,1,0.2,1.0738,2017,11,5"
"2015-10-15,2015-10-20,standard class,home office,United States,Orland Park,Illinois,60462,central,TEC-AC-10000844,technology,accessories,LogitechÂ Gaming G510s - Keyboard,339.96,5,0.2,67.992,2015,10,5"
"2017-12-25,2017-12-30,standard class,corporate,United States,New York City,New York,10035,east,FUR-FU-10001934,furniture,furnishings,Magnifier Swing Arm Lamp,41.96,2,0.0,10.9096,2017,12,5"
"2016-11-03,2016-11-10,standard class,consumer,United States,Urbandale,Iowa,50322,central,OFF-AR-10000380,office supplies,art,""Hunt PowerHouse Electric Pencil Sharpener, Blue"",75.96,2,0.0,22.788,2016,11,7"
"2016-11-03,2016-11-10,standard class,consumer,United States,Urbandale,Iowa,50322,central,OFF-BI-10003981,office supplies,binders,""Avery Durable Plastic 1"""" Binders"",27.24,6,0.0,13.3476,2016,11,7"
"2014-08-25,2014-08-27,second class,consumer,United States,Columbus,Ohio,43229,east,OFF-FA-10000621,office supplies,fasteners,""OIC Colored Binder Clips, Assorted Sizes"",40.096,14,0.2,14.5348,2014,8,2"
"2014-08-25,2014-08-27,second class,consumer,United States,Columbus,Ohio,43229,east,OFF-EN-10002600,office supplies,envelopes,""Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2"",4.72,2,0.2,1.652,2014,8,2"
"2014-08-25,2014-08-27,second class,consumer,United States,Columbus,Ohio,43229,east,OFF-PA-10004965,office supplies,paper,Xerox 1921,23.976,3,0.2,7.4925,2014,8,2"
"2014-08-25,2014-08-27,second class,consumer,United States,Columbus,Ohio,43229,east,OFF-EN-10002504,office supplies,envelopes,""Tyvek  Top-Opening Peel & Seel Envelopes, Plain White"",130.464,6,0.2,44.0316,2014,8,2"
"2015-03-02,2015-03-06,standard class,consumer,United States,Seattle,Washington,98103,west,FUR-TA-10001768,furniture,tables,Hon Racetrack Conference Tables,498.93,3,0.0,70.816875,2015,3,4"
"2015-04-05,2015-04-10,standard class,corporate,United States,Bristol,Tennessee,37620,south,OFF-BI-10003650,office supplies,binders,GBC DocuBind 300 Electric Binding Machine,157.794,1,0.5,-39.724125,2015,4,5"
"2016-06-12,2016-06-15,first class,consumer,United States,Wilmington,Delaware,19805,east,FUR-FU-10002157,furniture,furnishings,Artistic Insta-Plaque,47.04,3,0.0,18.3456,2016,6,3"
"2016-06-12,2016-06-15,first class,consumer,United States,Wilmington,Delaware,19805,east,OFF-BI-10003910,office supplies,binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4,0.0,13.878,2016,6,3"
"2016-06-12,2016-06-15,first class,consumer,United States,Wilmington,Delaware,19805,east,OFF-ST-10000777,office supplies,storage,""Companion Letter/Legal File, Black"",226.56,6,0.0,63.4368,2016,6,3"
"2016-06-12,2016-06-15,first class,consumer,United States,Wilmington,Delaware,19805,east,OFF-EN-10002500,office supplies,envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9,0.0,51.759,2016,6,3"
"2016-06-12,2016-06-15,first class,consumer,United States,Wilmington,Delaware,19805,east,TEC-PH-10003875,technology,phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7,0.0,19.7316,2016,6,3"
"2014-12-26,2014-12-28,second class,home office,United States,Houston,Texas,77041,central,FUR-CH-10004063,furniture,chairs,Global Deluxe High-Back Manager's Chair,498.93,3,0.3,-8.5794,2014,12,2"
"2014-09-20,2014-09-25,standard class,consumer,United States,Bloomington,Illinois,61701,central,FUR-TA-10004534,furniture,tables,Bevis 44 x 96 Conference Tables,498.93,6,0.5,-39.724125,2014,9,5"
"2017-11-05,2017-11-12,standard class,consumer,United States,Phoenix,Arizona,85023,west,OFF-BI-10003274,office supplies,binders,""Avery Durable Slant Ring Binders, No Labels"",2.388,2,0.5,-1.8308,2017,11,7"
"2017-11-05,2017-11-12,standard class,consumer,United States,Phoenix,Arizona,85023,west,OFF-ST-10002974,office supplies,storage,""Trav-L-File Heavy-Duty Shuttle II, Black"",243.992,7,0.2,30.499,2017,11,7"
"2016-11-06,2016-11-10,second class,home office,United States,Los Angeles,California,90004,west,FUR-CH-10001146,furniture,chairs,""Global Task Chair, Black"",81.424,2,0.2,-9.1602,2016,11,4"
"2016-11-06,2016-11-10,second class,home office,United States,Los Angeles,California,90004,west,FUR-FU-10003773,furniture,furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,0.0,26.2416,2016,11,4"
